state_name,district_name,market,commodity_group,commodity,unit_of_measure,price_local,currency,price_flag,price_type,data_period_start,data_period_end,latitude,longitude,year,multidimensional_poverty_index,poverty_headcount_ratio,poverty_intensity,vulnerability_rate,severe_poverty_rate,price_to_poverty_ratio,poverty_weighted_price,geo_missing,cluster
bihar,Patna,Patna,pulses and nuts,Lentils (urad),KG,75.0,INR,actual,Retail,2019-01-15,2019-02-14,25.6,85.12,2019,0.1544,34.6609,44.5458,19.9787,13.1912,2.163821481842653,11.58,False,1
bihar,Patna,Patna,vegetables and fruits,Onions,KG,16.5,INR,actual,Retail,2019-01-15,2019-02-14,25.6,85.12,2019,0.1544,34.6609,44.5458,19.9787,13.1912,0.4760407260053836,2.5476,False,1
bihar,Patna,Patna,vegetables and fruits,Tomatoes,KG,15.75,INR,actual,Retail,2019-01-15,2019-02-14,25.6,85.12,2019,0.1544,34.6609,44.5458,19.9787,13.1912,0.454402511186957,2.4318,False,1
chandigarh,Chandigarh,Chandigarh,cereals and tubers,Rice,KG,28.0,INR,actual,Retail,2019-01-15,2019-02-14,30.73,76.79,2019,0.0178,3.9426,45.1799,6.94,1.183,7.10191244356516,0.4984,False,0
chandigarh,Chandigarh,Chandigarh,cereals and tubers,Wheat,KG,23.0,INR,actual,Retail,2019-01-15,2019-02-14,30.73,76.79,2019,0.0178,3.9426,45.1799,6.94,1.183,5.833713792928524,0.4094,False,0
chandigarh,Chandigarh,Chandigarh,oil and fats,Ghee (vanaspati),KG,76.0,INR,actual,Retail,2019-01-15,2019-02-14,30.73,76.79,2019,0.0178,3.9426,45.1799,6.94,1.183,19.276619489676865,1.3528,False,0
chandigarh,Chandigarh,Chandigarh,oil and fats,Oil (soybean),KG,87.0,INR,actual,Retail,2019-01-15,2019-02-14,30.73,76.79,2019,0.0178,3.9426,45.1799,6.94,1.183,22.066656521077466,1.5486,False,0
chandigarh,Chandigarh,Chandigarh,pulses and nuts,Lentils,KG,55.75,INR,actual,Retail,2019-01-15,2019-02-14,30.73,76.79,2019,0.0178,3.9426,45.1799,6.94,1.183,14.140414954598487,0.99235,False,0
chandigarh,Chandigarh,Chandigarh,pulses and nuts,Lentils (masur),KG,52.0,INR,actual,Retail,2019-01-15,2019-02-14,30.73,76.79,2019,0.0178,3.9426,45.1799,6.94,1.183,13.189265966621011,0.9256,False,0
chandigarh,Chandigarh,Chandigarh,pulses and nuts,Lentils (moong),KG,72.0,INR,actual,Retail,2019-01-15,2019-02-14,30.73,76.79,2019,0.0178,3.9426,45.1799,6.94,1.183,18.26206056916756,1.2816,False,0
chandigarh,Chandigarh,Chandigarh,vegetables and fruits,Onions,KG,17.9,INR,actual,Retail,2019-01-15,2019-02-14,30.73,76.79,2019,0.0178,3.9426,45.1799,6.94,1.183,4.540151169279156,0.31862,False,0
chandigarh,Chandigarh,Chandigarh,vegetables and fruits,Tomatoes,KG,24.5,INR,actual,Retail,2019-01-15,2019-02-14,30.73,76.79,2019,0.0178,3.9426,45.1799,6.94,1.183,6.214173388119515,0.4361,False,0
delhi,Delhi,Delhi,cereals and tubers,Potatoes,KG,16.27,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,4.850490415287839,0.218018,False,0
delhi,Delhi,Delhi,cereals and tubers,Rice,100 KG,2698.33,INR,actual,Wholesale,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,804.4390781981338,36.157622,False,2
delhi,Delhi,Delhi,cereals and tubers,Rice,KG,36.0,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,10.732492621411325,0.4824,False,0
delhi,Delhi,Delhi,cereals and tubers,Wheat,100 KG,2099.0,INR,actual,Wholesale,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,625.763944787288,28.1266,False,2
delhi,Delhi,Delhi,milk and dairy,Milk,L,42.0,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,12.521241391646544,0.5628,False,0
